21-years-richard-linklater-2014_Matt Zoller Seitz_2.5.txt,1,15,0,10,0,
22-jump-street-2014_Matt Zoller Seitz_3.0.txt,2,30,4,13,1,
24-exposures-2014_Matt Zoller Seitz_2.0.txt,0,23,7,4,0,
3-12-minutes-ten-bullets-2015_Matt Zoller Seitz_3.0.txt,1,42,7,5,0,
7-chinese-brothers-2015_Matt Zoller Seitz_2.5.txt,0,12,3,7,0,
a-cure-for-wellness-2017_Matt Zoller Seitz_2.0.txt,2,31,1,4,1,
a-family-man-2017_Matt Zoller Seitz_2.0.txt,4,25,1,6,1,
a-field-in-england-2013_Matt Zoller Seitz_3.0.txt,0,15,0,2,0,
a-fragile-trust-plagiarism-power-and-jayson-blair-at-the-new-york-times-2014_Matt Zoller Seitz_3.0.txt,1,27,8,11,0,
a-ghost-story-2017_Matt Zoller Seitz_4.0.txt,0,26,4,10,1,
a-merry-friggin-christmas-2014_Matt Zoller Seitz_1.5.txt,1,15,3,4,0,
a-most-violent-year-2014_Matt Zoller Seitz_3.0.txt,2,21,1,10,3,
abacus-small-enough-to-jail-2017_Matt Zoller Seitz_4.0.txt,3,16,3,12,1,
alien-covenant-2017_Matt Zoller Seitz_4.0.txt,1,27,3,16,1,
all-mistakes-buried-2016_Matt Zoller Seitz_3.0.txt,1,24,4,9,0,
american-assassin-2017_Matt Zoller Seitz_2.5.txt,1,28,2,5,1,
annie-2014_Matt Zoller Seitz_3.0.txt,1,18,0,13,2,
anomalisa-2015_Matt Zoller Seitz_3.5.txt,1,24,5,11,1,
approaching-the-elephant-2014_Matt Zoller Seitz_3.5.txt,1,22,7,8,0,
avengers-age-of-ultron-2015_Matt Zoller Seitz_3.0.txt,3,36,3,11,0,
batman-v-superman-dawn-of-justice-2016_Matt Zoller Seitz_2.5.txt,4,21,3,7,1,
beasts-of-no-nation-2015_Matt Zoller Seitz_2.5.txt,0,25,1,12,0,
beyond-outrage-2014_Matt Zoller Seitz_2.5.txt,2,29,2,10,0,
black-mass-2015_Matt Zoller Seitz_3.0.txt,2,40,6,8,2,
black-or-white-2015_Matt Zoller Seitz_2.5.txt,6,25,3,8,1,
black-sea-2015_Matt Zoller Seitz_3.0.txt,2,21,7,9,1,
blackhat-2015_Matt Zoller Seitz_3.5.txt,1,18,7,13,1,
bleed-for-this-2016_Matt Zoller Seitz_2.5.txt,2,30,5,13,0,
boyhood-2014_Matt Zoller Seitz_4.0.txt,0,49,20,16,1,
buena-vista-social-club-adios-2017_Matt Zoller Seitz_2.0.txt,1,13,2,3,0,
burning-sands-2017_Matt Zoller Seitz_3.0.txt,1,19,2,4,0,
cameraperson-2016_Matt Zoller Seitz_4.0.txt,0,27,11,7,1,
camp-x-ray-2014_Matt Zoller Seitz_3.0.txt,2,23,1,16,2,
can-we-take-a-joke-2016_Matt Zoller Seitz_1.5.txt,3,25,3,3,0,
captain-america-civil-war-2016_Matt Zoller Seitz_3.0.txt,3,26,4,11,1,
captain-underpants-the-first-epic-movie-2017_Matt Zoller Seitz_3.5.txt,3,28,3,8,0,
cars-3-2017_Matt Zoller Seitz_2.5.txt,2,25,5,8,0,
central-intelligence-2016_Matt Zoller Seitz_3.5.txt,0,24,9,14,2,
chi-raq-2015_Matt Zoller Seitz_4.0.txt,0,30,8,20,1,
coco-2017_Matt Zoller Seitz_4.0.txt,0,19,0,9,1,
code-black-2014_Matt Zoller Seitz_2.5.txt,0,25,6,9,0,
coherence-2014_Matt Zoller Seitz_3.0.txt,0,18,7,5,1,
colossal-2017_Matt Zoller Seitz_3.5.txt,1,17,5,10,1,
contemporary-color-2017_Matt Zoller Seitz_3.0.txt,0,13,3,9,1,
crown-heights-2017_Matt Zoller Seitz_3.0.txt,1,19,1,7,1,
da-sweet-blood-of-jesus-2015_Matt Zoller Seitz_3.0.txt,4,16,2,4,1,
danny-collins-2015_Matt Zoller Seitz_3.5.txt,0,16,2,11,2,
dark-night-2017_Matt Zoller Seitz_1.5.txt,0,26,5,6,0,
david-brent-life-on-the-road-2017_Matt Zoller Seitz_1.5.txt,1,10,2,2,0,
dawn-of-the-planet-of-the-apes-2014_Matt Zoller Seitz_3.5.txt,1,29,4,16,0,
devils-knot-2014_Matt Zoller Seitz_2.5.txt,1,28,2,8,1,
dirty-weekend-2015_Matt Zoller Seitz_1.0.txt,0,13,3,3,0,
divorce-corp-2014_Matt Zoller Seitz_2.0.txt,1,20,6,5,0,
do-not-resist-2016_Matt Zoller Seitz_3.0.txt,0,15,2,2,1,
dolores-2017_Matt Zoller Seitz_3.5.txt,1,17,4,6,0,
don-peyote-2014_Matt Zoller Seitz_0.5.txt,3,9,0,0,0,
dunkirk-2017_Matt Zoller Seitz_3.5.txt,2,29,4,13,3,
dying-of-the-light-2014_Matt Zoller Seitz_2.0.txt,3,33,3,2,0,
edge-of-tomorrow-2014_Matt Zoller Seitz_3.5.txt,0,29,8,15,1,
elvis-and-nixon-2016_Matt Zoller Seitz_2.0.txt,2,18,1,15,1,
embrace-of-the-serpent-2016_Matt Zoller Seitz_3.0.txt,1,23,4,5,1,
enemies-closer-2014_Matt Zoller Seitz_2.5.txt,0,16,3,6,0,
equals-2016_Matt Zoller Seitz_2.5.txt,0,20,6,10,2,
evolution-of-a-criminal-2014_Matt Zoller Seitz_2.5.txt,0,31,2,5,0,
ex-libris-new-york-public-library-2017_Matt Zoller Seitz_3.0.txt,2,24,11,8,0,
ex-machina-2015_Matt Zoller Seitz_4.0.txt,2,21,0,15,3,
fantastic-four-2015_Matt Zoller Seitz_1.5.txt,3,28,3,15,1,
finding-fela-2014_Matt Zoller Seitz_2.5.txt,1,12,1,5,1,
first-they-killed-my-father-2017_Matt Zoller Seitz_4.0.txt,2,37,5,7,0,
flatliners-2017_Matt Zoller Seitz_1.5.txt,4,14,1,3,0,
foxcatcher-2014_Matt Zoller Seitz_2.5.txt,3,40,3,16,2,
frank-and-lola-2016_Matt Zoller Seitz_2.0.txt,0,12,2,9,0,
free-fire-2017_Matt Zoller Seitz_2.0.txt,1,14,0,5,2,
gabriel-2015_Matt Zoller Seitz_3.0.txt,2,18,6,11,2,
get-hard-2015_Matt Zoller Seitz_2.0.txt,1,27,5,5,0,
gett-the-trial-of-viviane-amsalem-2015_Matt Zoller Seitz_4.0.txt,2,24,2,8,1,
glassland-2016_Matt Zoller Seitz_3.0.txt,2,25,15,7,0,
gleason-2016_Matt Zoller Seitz_3.5.txt,1,6,1,7,3,
goat-2016_Matt Zoller Seitz_2.5.txt,3,21,0,2,0,
gods-of-egypt-2016_Matt Zoller Seitz_2.0.txt,0,29,2,7,0,
godzilla-2014_Matt Zoller Seitz_3.5.txt,1,26,7,9,1,
gold-2017_Matt Zoller Seitz_2.0.txt,1,21,3,10,0,
gone-girl-2014_Matt Zoller Seitz_3.5.txt,1,38,12,15,2,
good-kill-2015_Matt Zoller Seitz_2.5.txt,2,14,3,7,0,
goodbye-to-language-2014_Matt Zoller Seitz_3.5.txt,0,25,9,9,0,
hacksaw-ridge-2016_Matt Zoller Seitz_2.5.txt,2,38,5,8,1,
handsome-2017_Matt Zoller Seitz_2.0.txt,0,12,7,11,0,
happy-valley-2014_Matt Zoller Seitz_3.0.txt,1,22,2,4,0,
holy-hell-2016_Matt Zoller Seitz_1.5.txt,1,14,6,5,0,
horse-money-2015_Matt Zoller Seitz_3.5.txt,1,29,8,6,0,
human-capital-2015_Matt Zoller Seitz_2.0.txt,0,18,2,10,0,
hunter-gatherer-2016_Matt Zoller Seitz_3.0.txt,2,26,6,8,1,
i-am-ali-2014_Matt Zoller Seitz_2.5.txt,1,10,2,2,0,
i-am-not-your-negro-2016_Matt Zoller Seitz_3.5.txt,1,15,4,9,1,
i-dont-feel-at-home-in-this-world-anymore-2017_Matt Zoller Seitz_3.0.txt,0,9,1,5,1,
i-love-you-daddy-2017_Matt Zoller Seitz_0.5.txt,2,26,4,10,0,
if-you-dont-i-will-2014_Matt Zoller Seitz_3.0.txt,0,14,9,3,0,
in-jackson-heights-2015_Matt Zoller Seitz_3.5.txt,0,29,12,14,1,
in-the-heart-of-the-sea-2015_Matt Zoller Seitz_2.0.txt,0,28,5,3,1,
in-transit-2017_Matt Zoller Seitz_3.5.txt,2,20,1,12,4,
indias-daughter-2015_Matt Zoller Seitz_3.0.txt,1,13,1,3,1,
inherent-vice-2014_Matt Zoller Seitz_4.0.txt,0,38,20,17,0,
inside-out-2015_Matt Zoller Seitz_4.0.txt,2,32,9,19,1,
interior-leather-bar-2014_Matt Zoller Seitz_2.5.txt,1,32,12,10,0,
interstellar-2014_Matt Zoller Seitz_3.5.txt,2,32,5,11,0,
into-the-inferno-2016_Matt Zoller Seitz_3.0.txt,1,20,6,13,2,
irrational-man-2015_Matt Zoller Seitz_1.5.txt,3,28,6,4,0,
it-felt-like-love-2014_Matt Zoller Seitz_2.5.txt,0,31,4,20,1,
jack-reacher-never-go-back-2016_Matt Zoller Seitz_2.0.txt,4,17,3,5,1,
jackie-2016_Matt Zoller Seitz_2.5.txt,0,21,2,12,2,
jauja-2015_Matt Zoller Seitz_3.5.txt,1,16,2,6,1,
jem-and-the-holograms-2015_Matt Zoller Seitz_3.0.txt,0,19,5,11,0,
jimmy-p-2014_Matt Zoller Seitz_3.5.txt,0,16,2,14,0,
jodorowskys-dune-2014_Matt Zoller Seitz_3.0.txt,0,27,2,7,0,
jupiter-ascending-2015_Matt Zoller Seitz_2.0.txt,2,34,1,9,0,
jurassic-world-2015_Matt Zoller Seitz_3.0.txt,2,26,3,7,1,
justice-league-2017_Matt Zoller Seitz_3.0.txt,3,24,5,6,0,
kate-plays-christine-2016_Matt Zoller Seitz_3.5.txt,1,13,2,7,0,
king-arthur-legend-of-the-sword-2017_Matt Zoller Seitz_1.5.txt,3,19,5,9,2,
knight-of-cups-2016_Matt Zoller Seitz_4.0.txt,4,61,31,19,2,
kong-skull-island-2017_Matt Zoller Seitz_3.0.txt,2,31,4,9,0,
lamb-2016_Matt Zoller Seitz_2.5.txt,0,24,1,7,2,
leap-2017_Matt Zoller Seitz_1.5.txt,6,16,3,6,0,
life-itself-2014_Matt Zoller Seitz_3.5.txt,0,38,10,18,1,
lo-and-behold-reveries-of-the-connected-world-2016_Matt Zoller Seitz_3.0.txt,1,24,4,5,2,
logan-lucky-2017_Matt Zoller Seitz_3.5.txt,2,27,10,11,1,
london-road-2016_Matt Zoller Seitz_2.0.txt,2,9,0,4,0,
love-and-friendship-2016_Matt Zoller Seitz_3.5.txt,2,15,4,13,1,
low-down-2014_Matt Zoller Seitz_3.5.txt,1,21,8,24,0,
lucky-2017_Matt Zoller Seitz_4.0.txt,0,20,6,13,1,
lucy-2014_Matt Zoller Seitz_3.0.txt,1,22,4,11,0,
magic-mike-xxl-2015_Matt Zoller Seitz_3.0.txt,0,32,5,8,2,
maleficent-2014_Matt Zoller Seitz_3.0.txt,3,22,10,13,0,
manchester-by-the-sea-2016_Matt Zoller Seitz_4.0.txt,1,37,5,9,0,
maps-to-the-stars-2015_Matt Zoller Seitz_3.0.txt,0,29,3,7,1,
marshall-2017_Matt Zoller Seitz_3.5.txt,2,20,2,12,1,
masterminds-2016_Matt Zoller Seitz_3.0.txt,2,20,4,6,0,
matt-shepard-is-a-friend-of-mine-2015_Matt Zoller Seitz_4.0.txt,0,15,2,10,2,
mccanick-2014_Matt Zoller Seitz_1.0.txt,0,15,4,2,0,
memphis-2014_Matt Zoller Seitz_2.0.txt,1,19,3,6,0,
merchants-of-doubt-2015_Matt Zoller Seitz_3.0.txt,0,24,1,5,0,
misery-loves-comedy-2015_Matt Zoller Seitz_2.5.txt,0,17,0,1,1,
mission-impossible---rogue-nation-2015_Matt Zoller Seitz_4.0.txt,4,38,6,11,0,
mississippi-grind-2015_Matt Zoller Seitz_3.5.txt,0,24,6,11,2,
mistress-america-2015_Matt Zoller Seitz_3.0.txt,2,21,3,13,0,
mood-indigo-2014_Matt Zoller Seitz_2.5.txt,0,28,6,6,1,
mr-peabody-and-sherman-2014_Matt Zoller Seitz_2.5.txt,1,28,7,12,0,
mr-right-2016_Matt Zoller Seitz_1.5.txt,0,9,1,3,0,
mr-turner-2014_Matt Zoller Seitz_3.5.txt,1,12,4,10,0,
newtown-2016_Matt Zoller Seitz_3.5.txt,1,11,6,6,0,
nightcrawler-2014_Matt Zoller Seitz_4.0.txt,1,24,2,12,0,
no-stone-unturned-2017_Matt Zoller Seitz_2.5.txt,2,16,4,5,0,
noah-2014_Matt Zoller Seitz_3.0.txt,3,44,12,15,1,
noble-2015_Matt Zoller Seitz_3.0.txt,0,19,0,4,0,
norman-lear-just-another-version-of-you-2016_Matt Zoller Seitz_3.0.txt,1,16,2,8,2,
now-you-see-me-2-2016_Matt Zoller Seitz_2.0.txt,3,23,1,6,2,
okja-2017_Matt Zoller Seitz_3.5.txt,3,31,6,13,2,
one-of-us-2017_Matt Zoller Seitz_3.5.txt,0,10,5,3,0,
patti-cake-2017_Matt Zoller Seitz_3.0.txt,1,18,1,13,1,
peace-officer-2015_Matt Zoller Seitz_3.5.txt,4,16,2,5,1,
petes-dragon-2016_Matt Zoller Seitz_3.5.txt,2,23,14,10,2,
porto-2017_Matt Zoller Seitz_2.5.txt,0,9,3,7,0,
power-rangers-2017_Matt Zoller Seitz_2.5.txt,1,22,8,16,0,
private-property-1960_Matt Zoller Seitz_3.0.txt,1,27,3,8,0,
rams-2016_Matt Zoller Seitz_3.0.txt,2,8,0,2,1,
raze-2014_Matt Zoller Seitz_3.0.txt,0,21,11,9,0,
rebels-of-the-neon-god-2015_Matt Zoller Seitz_3.5.txt,1,14,1,7,1,
remember-2016_Matt Zoller Seitz_2.5.txt,0,16,4,3,0,
remote-area-medical-2014_Matt Zoller Seitz_3.0.txt,1,18,5,8,1,
ride-2015_Matt Zoller Seitz_3.0.txt,1,25,4,12,1,
risen-2016_Matt Zoller Seitz_2.5.txt,2,25,8,9,0,
rodney-king-2017_Matt Zoller Seitz_3.5.txt,1,14,3,5,1,
rogue-one-a-star-wars-story-2016_Matt Zoller Seitz_3.5.txt,2,34,2,11,0,
rules-dont-apply-2016_Matt Zoller Seitz_3.0.txt,2,26,3,12,1,
runoff-2015_Matt Zoller Seitz_3.5.txt,1,18,2,11,1,
sacro-gra-2013_Matt Zoller Seitz_3.5.txt,0,33,5,14,0,
sembene_Matt Zoller Seitz_3.0.txt,0,21,3,12,0,
silence-2016_Matt Zoller Seitz_4.0.txt,0,34,13,8,1,
sleepless-2017_Matt Zoller Seitz_2.0.txt,2,18,1,7,0,
some-kind-of-beautiful-2015_Matt Zoller Seitz_1.0.txt,2,11,1,4,0,
song-to-song-2017_Matt Zoller Seitz_2.5.txt,3,41,10,10,2,
space-station-76-2014_Matt Zoller Seitz_3.0.txt,1,20,7,6,1,
spectre-2015_Matt Zoller Seitz_2.5.txt,2,44,10,9,0,
stand-clear-of-the-closing-doors-2014_Matt Zoller Seitz_3.0.txt,0,21,7,9,0,
star-trek-beyond-2016_Matt Zoller Seitz_2.5.txt,2,33,4,11,0,
star-wars-episode-vii---the-force-awakens-2015_Matt Zoller Seitz_3.5.txt,0,27,3,13,2,
stray-dogs-2014_Matt Zoller Seitz_3.5.txt,1,18,3,3,0,
sunset-song-2016_Matt Zoller Seitz_4.0.txt,1,17,3,10,1,
swiss-army-man-2016_Matt Zoller Seitz_3.5.txt,3,19,3,8,1,
table-19-2017_Matt Zoller Seitz_2.5.txt,0,18,4,9,1,
tangerine-2015_Matt Zoller Seitz_3.0.txt,1,25,3,10,2,
thank-you-for-your-service-2017_Matt Zoller Seitz_3.5.txt,3,22,3,8,1,
that-man-from-rio-1964_Matt Zoller Seitz_3.5.txt,1,20,3,9,1,
the-age-of-adaline-2015_Matt Zoller Seitz_3.0.txt,1,24,9,16,2,
the-b-side-elsa-dorfmans-portrait-photography-2017_Matt Zoller Seitz_3.0.txt,0,21,1,12,1,
the-bfg-2016_Matt Zoller Seitz_3.5.txt,0,24,9,17,0,
the-birth-of-a-nation-2016_Matt Zoller Seitz_2.0.txt,1,30,8,8,1,
the-boss-2016_Matt Zoller Seitz_1.5.txt,3,22,7,8,0,
the-circle-2017_Matt Zoller Seitz_1.5.txt,0,33,1,7,0,
the-cold-lands-2014_Matt Zoller Seitz_3.5.txt,1,23,8,14,1,
the-disappearance-of-eleanor-rigby-them-2014_Matt Zoller Seitz_3.0.txt,0,36,11,14,1,
the-dog-2014_Matt Zoller Seitz_4.0.txt,1,17,12,16,3,
the-end-of-the-tour-2015_Matt Zoller Seitz_3.0.txt,0,25,9,13,2,
the-founder-2017_Matt Zoller Seitz_3.0.txt,2,28,2,10,0,
the-grand-seduction-2014_Matt Zoller Seitz_3.0.txt,2,28,11,14,1,
the-handmaiden-2016a_Matt Zoller Seitz_4.0.txt,2,20,4,15,0,
the-hateful-eight-2015_Matt Zoller Seitz_2.0.txt,6,38,7,8,0,
the-hollars-2016_Matt Zoller Seitz_2.5.txt,2,26,5,6,1,
the-hunger-games-mockingjay---part-1-2014_Matt Zoller Seitz_2.5.txt,0,20,1,3,4,
the-jungle-book-2016_Matt Zoller Seitz_4.0.txt,1,20,2,13,0,
the-last-of-robin-hood-2014_Matt Zoller Seitz_0.5.txt,3,19,3,5,0,
the-layover-2017_Matt Zoller Seitz_1.5.txt,1,20,1,11,0,
the-lost-city-of-z-2017_Matt Zoller Seitz_3.5.txt,0,21,3,15,1,
the-lovers-and-the-despot-2016_Matt Zoller Seitz_2.0.txt,1,21,1,1,0,
the-martian-2015_Matt Zoller Seitz_3.5.txt,1,29,7,14,0,
the-meddler-2016_Matt Zoller Seitz_4.0.txt,0,16,3,12,0,
the-monuments-men-2014_Matt Zoller Seitz_2.5.txt,0,16,1,10,1,
the-november-man-2014_Matt Zoller Seitz_2.0.txt,0,34,3,4,0,
the-rehearsal-2017_Matt Zoller Seitz_2.5.txt,0,16,4,9,0,
the-selfish-giant-2013_Matt Zoller Seitz_3.5.txt,0,34,3,5,0,
the-shallows-2016_Matt Zoller Seitz_3.0.txt,0,20,3,6,1,
the-walk-2015_Matt Zoller Seitz_2.5.txt,1,27,5,13,0,
the-water-diviner-2015_Matt Zoller Seitz_2.0.txt,0,22,0,1,1,
the-witness-2016_Matt Zoller Seitz_3.5.txt,2,25,3,7,0,
the-wolf-of-wall-street-2013_Matt Zoller Seitz_3.5.txt,4,43,6,9,0,
the-wonders-2015_Matt Zoller Seitz_3.0.txt,0,19,4,8,2,
the-world-made-straight-2015_Matt Zoller Seitz_2.5.txt,0,16,3,5,0,
the-zero-theorem-2014_Matt Zoller Seitz_2.5.txt,1,23,3,7,0,
thor-ragnarok-2017_Matt Zoller Seitz_3.0.txt,3,32,4,7,1,
time-out-of-mind-2015_Matt Zoller Seitz_3.5.txt,0,19,11,16,1,
tomorrowland-2015_Matt Zoller Seitz_3.0.txt,2,15,4,8,2,
tower-2016_Matt Zoller Seitz_3.5.txt,0,18,4,7,0,
transcendence-2014_Matt Zoller Seitz_2.5.txt,2,37,10,8,1,
trophy-2017_Matt Zoller Seitz_4.0.txt,0,35,3,10,1,
under-the-skin-2014_Matt Zoller Seitz_4.0.txt,0,29,26,25,0,
venus-in-fur-2014_Matt Zoller Seitz_2.0.txt,2,17,7,12,1,
veronica-mars-2014_Matt Zoller Seitz_3.5.txt,2,23,7,7,1,
walking-out-2017_Matt Zoller Seitz_3.0.txt,1,13,4,5,1,
war-dogs-2016_Matt Zoller Seitz_2.0.txt,0,26,7,7,1,
white-god-2015_Matt Zoller Seitz_3.5.txt,0,27,0,12,1,
whose-streets-2017_Matt Zoller Seitz_3.5.txt,2,27,6,4,0,
wish-upon-2017_Matt Zoller Seitz_1.0.txt,0,22,4,7,0,
z-for-zachariah-2015_Matt Zoller Seitz_2.5.txt,2,22,0,8,3,
zootopia-2016_Matt Zoller Seitz_3.0.txt,0,24,1,5,2,
